seed,split,randomization,realized_outcome_oos,tree_depth,tree,method
4,3,0.33,0.8477633477633477,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': ['1', '0', '1', '0']}",Kallus
4,4,0.33,0.8391053391053391,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': ['1', '0', '1', '0']}",Kallus
4,5,0.33,0.8621933621933622,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': ['1', '0', '0', '1']}",Kallus
5,1,0.33,0.8455988455988456,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': ['1', '0', '0', '1']}",Kallus
5,2,0.33,0.8484848484848485,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': ['1', '0', '0', '1']}",Kallus
5,3,0.33,0.8578643578643579,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': ['1', '0', '1', '0']}",Kallus
5,4,0.33,0.8391053391053391,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Weight4'], 'leaves': ['1', '0', '1', '0']}",Kallus
5,5,0.33,0.8708513708513709,2,"{'branching': ['VKORC1.A.A', 'X.2..3', 'Age3.4'], 'leaves': ['1', '0', '0', '1']}",Kallus
1,1,r0.06,0.6226551226551227,2,"{'branching': ['VKORC1.A.A', 'Age1.2', 'Weight3'], 'leaves': ['1', '0', '1', '1']}",Kallus
1,2,r0.06,0.6154401154401155,2,"{'branching': ['VKORC1.A.A', 'Enzyme.Inducer', 'Age3.4'], 'leaves': ['1', '0', '1', '1']}",Kallus
1,3,r0.06,0.6226551226551227,2,"{'branching': ['VKORC1.A.A', 'Age1.2', 'Weight3'], 'leaves': ['1', '0', '1', '1']}",Kallus
1,4,r0.06,0.5670995670995671,2,"{'branching': ['VKORC1.A.A', 'Age3.4', 'Age7'], 'leaves': ['1', '0', '0', '1']}",Kallus
1,5,r0.06,0.6125541125541125,2,"{'branching': ['VKORC1.A.A', 'Age1.2', 'Age3.4'], 'leaves': ['1', '0', '1', '1']}",Kallus
2,1,r0.06,0.4292929292929293,2,"{'branching': ['Weight3', 'Age5.6', 'Height4'], 'leaves': ['1', '0', '0', '0']}",Kallus
2,2,r0.06,0.37734487734487737,2,"{'branching': ['Weight4', 'Age5.6', 'Age1.2'], 'leaves': ['1', '0', '0', '0']}",Kallus
2,3,r0.06,0.4588744588744589,2,"{'branching': ['Weight4', 'Age5.6', 'X.1..1'], 'leaves': ['1', '0', '1', '0']}",Kallus
2,4,r0.06,0.4422799422799423,2,"{'branching': ['Weight3', 'Age5.6', 'Height4'], 'leaves': ['1', '0', '0', '0']}",Kallus
2,5,r0.06,0.42712842712842713,2,"{'branching': ['Weight3', 'Age5.6', 'Height4'], 'leaves': ['1', '0', '0', '0']}",Kallus
3,1,r0.06,0.5937950937950938,2,"{'branching': ['Age3.4', 'VKORC1.A.A', 'Weight3'], 'leaves': ['1', '1', '0', '1']}",Kallus
3,2,r0.06,0.5115440115440115,2,"{'branching': ['Age5.6', 'VKORC1.A.A', 'Weight4'], 'leaves': ['1', '1', '0', '1']}",Kallus
3,3,r0.06,0.5865800865800865,2,"{'branching': ['Age3.4', 'Height3', 'Weight3'], 'leaves': ['1', '1', '0', '1']}",Kallus
3,4,r0.06,0.5894660894660895,2,"{'branching': ['Age3.4', 'VKORC1.A.A', 'Weight3'], 'leaves': ['1', '1', '0', '1']}",Kallus
3,5,r0.06,0.8073593073593074,2,"{'branching': ['Weight3', 'Age3.4', 'VKORC1.A.A'], 'leaves': ['1', '0', '1', '0']}",Kallus
4,1,r0.06,0.31962481962481964,2,"{'branching': ['Weight4', 'X.2..3', 'Black.or.African.American'], 'leaves': ['0', '0', '0', '0']}",Kallus
4,2,r0.06,0.4062049062049062,2,"{'branching': ['Weight4', 'Black.or.African.American', 'Age3.4'], 'leaves': ['0', '0', '0', '1']}",Kallus
4,3,r0.06,0.42568542568542567,2,"{'branching': ['X.1..1', 'Height2', 'Weight4'], 'leaves': ['1', '0', '0', '0']}",Kallus
4,4,r0.06,0.3997113997113997,2,"{'branching': ['Weight4', 'X.2..3', 'Age3.4'], 'leaves': ['0', '1', '0', '1']}",Kallus
4,5,r0.06,0.43722943722943725,2,"{'branching': ['Weight4', 'VKORC1.A.A', 'Age3.4'], 'leaves': ['0', '0', '0', '1']}",Kallus
5,1,r0.06,0.7085137085137085,2,"{'branching': ['Age3.4', 'Weight2', 'Weight4'], 'leaves': ['1', '0', '0', '1']}",Kallus
5,2,r0.06,0.4444444444444444,2,"{'branching': ['Weight4', 'Age5.6', 'Age3.4'], 'leaves': ['1', '0', '0', '1']}",Kallus
5,3,r0.06,0.6111111111111112,2,"{'branching': ['Age3.4', 'Height3', 'Weight4'], 'leaves': ['1', '0', '0', '1']}",Kallus
5,4,r0.06,0.6262626262626263,2,"{'branching': ['Age3.4', 'Height3', 'Weight4'], 'leaves': ['1', '0', '0', '1']}",Kallus
5,5,r0.06,0.5959595959595959,2,"{'branching': ['Age3.4', 'Height3', 'Weight3'], 'leaves': ['1', '0', '0', '1']}",Kallus
1,1,r0.11,0.5995670995670995,2,"{'branching': ['VKORC1.A.G', 'VKORC1.A.A', 'Enzyme.Inducer'], 'leaves': ['1', '1', '1', '0']}",Kallus
1,2,r0.11,0.6190476190476191,2,"{'branching': ['VKORC1.A.G', 'VKORC1.A.A', 'Enzyme.Inducer'], 'leaves': ['1', '1', '1', '0']}",Kallus
1,3,r0.11,0.6334776334776335,2,"{'branching': ['VKORC1.A.G', 'VKORC1.A.A', 'Weight4'], 'leaves': ['1', '1', '1', '1']}",Kallus
1,4,r0.11,0.6349206349206349,2,"{'branching': ['VKORC1.A.G', 'VKORC1.A.A', 'Enzyme.Inducer'], 'leaves': ['1', '1', '1', '0']}",Kallus
1,5,r0.11,0.6284271284271284,2,"{'branching': ['VKORC1.A.G', 'VKORC1.A.A', 'Enzyme.Inducer'], 'leaves': ['1', '1', '1', '0']}",Kallus
2,1,r0.11,0.35353535353535354,2,"{'branching': ['Age7', 'Weight3', 'Age3.4'], 'leaves': ['1', '0', '0', '0']}",Kallus
2,2,r0.11,0.3354978354978355,2,"{'branching': ['Weight4', 'VKORC1.A.A', 'Age3.4'], 'leaves': ['0', '0', '0', '0']}",Kallus
2,3,r0.11,0.341991341991342,2,"{'branching': ['Weight4', 'Age7', 'Age3.4'], 'leaves': ['1', '0', '0', '0']}",Kallus
2,4,r0.11,0.38023088023088025,2,"{'branching': ['Age5.6', 'Weight4', 'Weight2'], 'leaves': ['1', '0', '0', '0']}",Kallus
2,5,r0.11,0.34704184704184704,2,"{'branching': ['Age5.6', 'X.1..3', 'Weight2'], 'leaves': ['0', '0', '0', '0']}",Kallus
3,1,r0.11,0.6327561327561327,2,"{'branching': ['Age5.6', 'VKORC1.A.A', 'Weight3'], 'leaves': ['1', '1', '1', '1']}",Kallus
3,2,r0.11,0.5021645021645021,2,"{'branching': ['Age3.4', 'Weight3', 'VKORC1.A.A'], 'leaves': ['1', '1', '0', '1']}",Kallus
3,3,r0.11,0.5331890331890332,2,"{'branching': ['Age3.4', 'Height3', 'VKORC1.A.A'], 'leaves': ['1', '1', '0', '1']}",Kallus
3,4,r0.11,0.6190476190476191,2,"{'branching': ['VKORC1.A.A', 'Age1.2', 'Height3'], 'leaves': ['1', '0', '1', '1']}",Kallus
3,5,r0.11,0.797979797979798,2,"{'branching': ['VKORC1.A.A', 'Age1.2', 'Weight2'], 'leaves': ['1', '0', '1', '0']}",Kallus
4,1,r0.11,0.3181818181818182,2,"{'branching': ['Weight3', 'X.2..3', 'X.3..3'], 'leaves': ['0', '0', '0', '1']}",Kallus
4,2,r0.11,0.34704184704184704,2,"{'branching': ['X.1..1', 'Age3.4', 'VKORC1.A.A'], 'leaves': ['0', '1', '0', '0']}",Kallus
4,3,r0.11,0.32611832611832614,2,"{'branching': ['Weight4', 'X.2..3', 'Black.or.African.American'], 'leaves': ['0', '1', '0', '0']}",Kallus
4,4,r0.11,0.33116883116883117,2,"{'branching': ['Weight4', 'X.2..3', 'Black.or.African.American'], 'leaves': ['0', '1', '0', '0']}",Kallus
4,5,r0.11,0.3621933621933622,2,"{'branching': ['VKORC1.Missing', 'Weight4', 'VKORC1.A.A'], 'leaves': ['0', '0', '1', '1']}",Kallus
5,1,r0.11,0.6060606060606061,2,"{'branching': ['Age3.4', 'Height3', 'Weight4'], 'leaves': ['1', '0', '0', '1']}",Kallus
5,2,r0.11,0.41053391053391053,2,"{'branching': ['Height4', 'VKORC1.A.A', 'Age3.4'], 'leaves': ['0', '1', '0', '1']}",Kallus
5,3,r0.11,0.6111111111111112,2,"{'branching': ['Age3.4', 'Height3', 'Weight4'], 'leaves': ['1', '0', '0', '1']}",Kallus
5,4,r0.11,0.5310245310245311,2,"{'branching': ['Age3.4', 'Weight4', 'Height4'], 'leaves': ['1', '0', '0', '1']}",Kallus
5,5,r0.11,0.5483405483405484,2,"{'branching': ['Age3.4', 'Height3', 'VKORC1.A.A'], 'leaves': ['1', '0', '0', '1']}",Kallus
