method,file_name,num_rows,depth,branching_limit,time_limit,status,obj_value,gap,solve_time,regret_train,best_found_train,treatment_acc_train,regret_test,best_found_test,treatment_acc_test,prop_pred,ml,randomization,split
Direct,data_train_enc_0.33_1,3000,4,100.0,14400,9,2586.01,1.753280149728246,14413.623106241226,350,88.33333333333333,34.833333333333336,194,86.002886002886,32.106782106782106,tree,ml,0.33,1
Direct,data_train_enc_0.33_1,3000,4,100.0,14400,9,2596.42,1.842922177458836,14414.39401459694,365,87.83333333333333,34.1,207,85.06493506493507,31.67388167388168,tree,ml,0.33,1
Direct,data_train_enc_0.33_1,3000,4,100.0,14400,9,2581.343451452871,2.290756080371815,14413.352805376053,376,87.46666666666667,34.03333333333333,205,85.20923520923522,34.12698412698413,tree,ml,0.33,1
Direct,data_train_enc_0.33_1,3000,4,100.0,14400,9,2624.670000000001,1.5449561278164723,14414.918563842772,347,88.43333333333334,34.56666666666667,193,86.07503607503607,33.694083694083695,tree,ml,0.33,1
Direct,data_train_enc_0.33_2,3000,1,100.0,14400,2,2519.9000000000005,0.0,2.474386692047119,502,83.26666666666667,33.36666666666667,245,82.32323232323232,34.84848484848485,tree,ml,0.33,2
Direct,data_train_enc_0.33_2,3000,1,100.0,14400,2,2480.4700000000007,0.0,3.3179056644439697,502,83.26666666666667,32.63333333333333,218,84.27128427128427,35.714285714285715,tree,ml,0.33,2
Direct,data_train_enc_0.33_2,3000,1,100.0,14400,2,2504.125883514314,0.0,2.8867783546447754,506,83.13333333333334,33.0,235,83.04473304473305,34.92063492063492,tree,ml,0.33,2
Direct,data_train_enc_0.33_2,3000,1,100.0,14400,2,2490.93,0.0,2.978622913360596,503,83.23333333333333,34.56666666666667,239,82.75613275613276,33.11688311688312,tree,ml,0.33,2
Direct,data_train_enc_0.33_2,3000,1,100.0,14400,2,2510.322232649314,0.0,2.6895666122436523,493,83.56666666666666,35.099999999999994,222,83.98268398268398,32.75613275613276,tree,ml,0.33,2
Direct,data_train_enc_0.33_2,3000,2,100.0,14400,2,2549.7800000000007,0.0,163.0242531299591,458,84.73333333333333,32.93333333333333,223,83.91053391053391,34.77633477633478,tree,ml,0.33,2
Direct,data_train_enc_0.33_2,3000,2,100.0,14400,2,2505.1400013562265,0.0,168.15848898887634,476,84.13333333333334,32.733333333333334,206,85.13708513708514,35.858585858585855,tree,ml,0.33,2
Direct,data_train_enc_0.33_2,3000,2,100.0,14400,2,2527.100049358342,0.0,180.22450757026672,470,84.33333333333334,32.733333333333334,215,84.48773448773449,35.064935064935064,tree,ml,0.33,2
Direct,data_train_enc_0.33_2,3000,2,100.0,14400,2,2523.75,0.0096417368334161,118.74022006988524,471,84.3,34.333333333333336,225,83.76623376623377,32.82828282828283,tree,ml,0.33,2
Direct,data_train_enc_0.33_2,3000,2,100.0,14400,2,2535.7188576172703,0.0,145.75742053985596,449,85.03333333333333,34.9,210,84.84848484848484,32.61183261183261,tree,ml,0.33,2
Direct,data_train_enc_0.33_2,3000,3,100.0,14400,9,2578.4900000000016,2.035417763041467,14406.09765458107,416,86.13333333333333,33.266666666666666,201,85.4978354978355,35.064935064935064,tree,ml,0.33,2
Direct,data_train_enc_0.33_2,3000,3,100.0,14400,9,2548.4400000000005,2.720434801237261,14406.496290683746,418,86.06666666666666,32.7,188,86.43578643578643,35.858585858585855,tree,ml,0.33,2
Direct,data_train_enc_0.33_2,3000,3,100.0,14400,9,2553.3895459032583,3.219231442402238,14405.984265089037,429,85.7,33.43333333333333,210,84.84848484848484,33.98268398268398,tree,ml,0.33,2
Direct,data_train_enc_0.33_2,3000,3,100.0,14400,9,2555.57,2.752419225455063,14406.76872086525,419,86.03333333333333,34.56666666666667,204,85.28138528138528,32.03463203463203,tree,ml,0.33,2
Direct,data_train_enc_0.33_2,3000,3,100.0,14400,9,2569.6417113798243,2.7745153564991263,14406.05004453659,401,86.63333333333333,34.96666666666667,183,86.7965367965368,32.17893217893218,tree,ml,0.33,2
Direct,data_train_enc_0.33_2,3000,4,100.0,14400,9,2599.4200000000005,2.029298843587135,14411.995748996736,375,87.5,33.4,196,85.85858585858585,34.77633477633478,tree,ml,0.33,2
Direct,data_train_enc_0.33_2,3000,4,100.0,14400,9,2567.9400000000005,2.1620442845226826,14412.51610994339,386,87.13333333333333,33.266666666666666,189,86.36363636363636,35.858585858585855,tree,ml,0.33,2
Direct,data_train_enc_0.33_2,3000,4,100.0,14400,9,2581.9974234945707,2.1469355403381964,14412.058460474014,379,87.36666666666667,32.9,188,86.43578643578643,34.704184704184705,tree,ml,0.33,2
Direct,data_train_enc_0.33_2,3000,4,100.0,14400,9,2569.1,2.2112802148603308,14412.535654783249,380,87.33333333333333,34.46666666666667,196,85.85858585858585,32.25108225108225,tree,ml,0.33,2
Direct,data_train_enc_0.33_2,3000,4,100.0,14400,9,2597.6417113798248,1.6686328872581424,14412.206948280334,344,88.53333333333333,35.0,164,88.16738816738817,32.106782106782106,tree,ml,0.33,2
Direct,data_train_enc_0.33_3,3000,1,100.0,14400,2,2504.1900000000005,0.0,2.6626505851745605,516,82.8,33.800000000000004,231,83.33333333333334,33.910533910533914,tree,ml,0.33,3
Direct,data_train_enc_0.33_3,3000,1,100.0,14400,2,2476.87,0.0,2.9769186973571777,501,83.3,34.333333333333336,219,84.19913419913419,32.03463203463203,tree,ml,0.33,3
Direct,data_train_enc_0.33_3,3000,1,100.0,14400,2,2513.37,0.0,2.7454211711883545,509,83.03333333333333,34.1,232,83.26118326118326,32.53968253968254,tree,ml,0.33,3
Direct,data_train_enc_0.33_3,3000,1,100.0,14400,2,2468.7599999999998,0.0,4.879674434661865,515,82.83333333333334,34.0,227,83.62193362193362,34.34343434343434,tree,ml,0.33,3
Direct,data_train_enc_0.33_3,3000,1,100.0,14400,2,2500.438280717464,0.0,2.9042437076568604,498,83.39999999999999,35.233333333333334,217,84.34343434343434,32.467532467532465,tree,ml,0.33,3
Direct,data_train_enc_0.33_3,3000,2,100.0,14400,2,2539.46,0.0082694746125532,183.4968221187592,472,84.26666666666667,33.46666666666667,209,84.92063492063492,33.62193362193362,tree,ml,0.33,3
Direct,data_train_enc_0.33_3,3000,2,100.0,14400,2,2504.53,0.0,189.388432264328,474,84.2,34.599999999999994,208,84.992784992785,31.818181818181817,tree,ml,0.33,3
Direct,data_train_enc_0.33_3,3000,2,100.0,14400,2,2542.91,0.0,199.31336617469788,483,83.89999999999999,34.1,226,83.6940836940837,32.53968253968254,tree,ml,0.33,3
Direct,data_train_enc_0.33_3,3000,2,100.0,14400,2,2514.06,0.0,186.0914671421051,459,84.7,33.733333333333334,211,84.77633477633478,33.910533910533914,tree,ml,0.33,3
Direct,data_train_enc_0.33_3,3000,2,100.0,14400,2,2529.658280717464,0.0,213.007226228714,458,84.73333333333333,35.03333333333333,197,85.78643578643579,32.106782106782106,tree,ml,0.33,3
Direct,data_train_enc_0.33_3,3000,3,100.0,14400,9,2571.7200000000007,2.294184436873446,14406.927048444748,433,85.56666666666666,33.56666666666667,186,86.58008658008657,33.549783549783555,tree,ml,0.33,3
Direct,data_train_enc_0.33_3,3000,3,100.0,14400,9,2530.94000056035,3.4459528641658883,14406.788433074951,428,85.73333333333333,34.36666666666667,194,86.002886002886,32.03463203463203,tree,ml,0.33,3
Direct,data_train_enc_0.33_3,3000,3,100.0,14400,9,2565.1100000000006,2.98600816102916,14406.775698900225,437,85.43333333333332,33.53333333333333,194,86.002886002886,32.467532467532465,tree,ml,0.33,3
Direct,data_train_enc_0.33_3,3000,3,100.0,14400,9,2546.25,2.855179185075745,14406.342352628708,408,86.4,33.7,194,86.002886002886,33.62193362193362,tree,ml,0.33,3
Direct,data_train_enc_0.33_3,3000,3,100.0,14400,9,2565.6882807174643,2.966721709587832,14406.953845024109,407,86.43333333333332,35.099999999999994,179,87.08513708513709,31.67388167388168,tree,ml,0.33,3
Direct,data_train_enc_0.33_3,3000,4,100.0,14400,9,2588.4300000000003,1.633808911192251,14411.985085725784,401,86.63333333333333,33.63333333333333,173,87.51803751803752,33.76623376623377,tree,ml,0.33,3
Direct,data_train_enc_0.33_3,3000,4,100.0,14400,9,2571.500000000001,1.8568928640850035,14412.06893634796,361,87.96666666666667,34.733333333333334,174,87.44588744588745,32.82828282828283,tree,ml,0.33,3
Direct,data_train_enc_0.33_3,3000,4,100.0,14400,9,2588.11,2.084146346174588,14414.206904411316,379,87.36666666666667,33.83333333333333,179,87.08513708513709,33.4054834054834,tree,ml,0.33,3
Direct,data_train_enc_0.33_3,3000,4,100.0,14400,9,2569.8099999999995,1.9215428377956527,14412.008868932724,367,87.76666666666667,33.56666666666667,173,87.51803751803752,33.910533910533914,tree,ml,0.33,3
Direct,data_train_enc_0.33_3,3000,4,100.0,14400,9,2582.378280717464,2.3012442316509487,14412.62761735916,378,87.4,35.06666666666667,171,87.66233766233766,32.17893217893218,tree,ml,0.33,3
Direct,data_train_enc_0.33_4,3000,1,100.0,14400,2,2500.86,0.0,3.0997653007507324,497,83.43333333333334,34.13333333333333,250,81.96248196248196,33.18903318903319,tree,ml,0.33,4
Direct,data_train_enc_0.33_4,3000,1,100.0,14400,2,2489.16,0.0,3.1228256225585938,488,83.73333333333333,33.36666666666667,232,83.26118326118326,34.12698412698413,tree,ml,0.33,4
Direct,data_train_enc_0.33_4,3000,1,100.0,14400,2,2492.5400000000072,0.0,2.861126184463501,502,83.26666666666667,33.53333333333333,239,82.75613275613276,33.76623376623377,tree,ml,0.33,4
Direct,data_train_enc_0.33_4,3000,1,100.0,14400,2,2473.36,0.0,2.777775764465332,505,83.16666666666667,33.266666666666666,237,82.90043290043289,35.93073593073593,tree,ml,0.33,4
Direct,data_train_enc_0.33_4,3000,1,100.0,14400,2,2536.177153983185,0.0,3.412367820739746,482,83.93333333333334,34.266666666666666,233,83.1890331890332,34.55988455988456,tree,ml,0.33,4
Direct,data_train_enc_0.33_4,3000,2,100.0,14400,2,2540.46,0.0,222.36240696907043,443,85.23333333333333,33.7,238,82.82828282828282,33.11688311688312,tree,ml,0.33,4
Direct,data_train_enc_0.33_4,3000,2,100.0,14400,2,2518.18,0.0095306928018814,88.69037795066833,455,84.83333333333334,33.233333333333334,227,83.62193362193362,34.77633477633478,tree,ml,0.33,4
Direct,data_train_enc_0.33_4,3000,2,100.0,14400,2,2532.2700000000004,0.0,225.0198812484741,454,84.86666666666667,33.233333333333334,231,83.33333333333334,33.98268398268398,tree,ml,0.33,4
Direct,data_train_enc_0.33_4,3000,2,100.0,14400,2,2514.49,0.0,73.76798486709595,447,85.1,32.86666666666667,223,83.91053391053391,35.78643578643579,tree,ml,0.33,4
Direct,data_train_enc_0.33_4,3000,2,100.0,14400,2,2572.337153983185,0.0,174.97860455513,432,85.6,34.13333333333333,223,83.91053391053391,34.05483405483405,tree,ml,0.33,4
Direct,data_train_enc_0.33_4,3000,3,100.0,14400,9,2566.630000000001,2.940431616555517,14407.110174655914,413,86.23333333333333,33.5,211,84.77633477633478,33.11688311688312,tree,ml,0.33,4
Direct,data_train_enc_0.33_4,3000,3,100.0,14400,9,2542.300001665,3.245210961765652,14406.865624904633,404,86.53333333333333,33.300000000000004,216,84.4155844155844,35.064935064935064,tree,ml,0.33,4
Direct,data_train_enc_0.33_4,3000,3,100.0,14400,9,2563.9400000000005,2.390331547020106,14406.796664714811,407,86.43333333333332,33.233333333333334,207,85.06493506493507,33.477633477633475,tree,ml,0.33,4
Direct,data_train_enc_0.33_4,3000,3,100.0,14400,9,2548.8600000000006,1.7583841403603744,14406.051273584366,394,86.86666666666667,32.93333333333333,203,85.35353535353535,35.35353535353536,tree,ml,0.33,4
Direct,data_train_enc_0.33_4,3000,3,100.0,14400,9,2603.207153983185,2.6222959048858203,14405.698810577393,389,87.03333333333333,34.0,197,85.78643578643579,34.05483405483405,tree,ml,0.33,4
Direct,data_train_enc_0.33_4,3000,4,100.0,14400,9,2593.96,2.0065845271310936,14412.137217760086,369,87.7,33.63333333333333,188,86.43578643578643,33.4054834054834,tree,ml,0.33,4
Direct,data_train_enc_0.33_4,3000,4,100.0,14400,9,2583.78,1.590305676178898,14412.845672607422,354,88.2,34.03333333333333,187,86.5079365079365,35.20923520923521,tree,ml,0.33,4
Direct,data_train_enc_0.33_4,3000,4,100.0,14400,9,2583.4900000000007,1.6752532427044664,14412.657750368118,372,87.6,33.5,195,85.93073593073593,33.04473304473304,tree,ml,0.33,4
Direct,data_train_enc_0.33_4,3000,4,100.0,14400,9,2558.1799999999994,2.058885613990418,14413.161771059036,374,87.53333333333333,32.86666666666667,196,85.85858585858585,35.56998556998557,tree,ml,0.33,4
Direct,data_train_enc_0.33_4,3000,4,100.0,14400,9,2630.3471539831853,1.5949907802487149,14413.592189073564,332,88.93333333333334,34.13333333333333,178,87.15728715728716,33.76623376623377,tree,ml,0.33,4
Direct,data_train_enc_0.33_5,3000,1,100.0,14400,2,2476.900000000001,0.0,2.554112434387207,529,82.36666666666666,34.03333333333333,218,84.27128427128427,33.4054834054834,tree,ml,0.33,5
Direct,data_train_enc_0.33_5,3000,1,100.0,14400,2,2472.71,0.0,2.811010360717773,504,83.2,33.800000000000004,216,84.4155844155844,33.18903318903319,tree,ml,0.33,5
Direct,data_train_enc_0.33_5,3000,1,100.0,14400,2,2468.15,0.0,2.8107166290283203,520,82.66666666666667,34.166666666666664,221,84.05483405483406,32.39538239538239,tree,ml,0.33,5
Direct,data_train_enc_0.33_5,3000,1,100.0,14400,2,2474.6600000000003,0.0,3.3608646392822266,526,82.46666666666667,33.93333333333333,216,84.4155844155844,34.48773448773449,tree,ml,0.33,5
Direct,data_train_enc_0.33_5,3000,1,100.0,14400,2,2499.3819298842272,0.0,2.988029956817627,517,82.76666666666667,33.83333333333333,198,85.71428571428571,35.4978354978355,tree,ml,0.33,5
Direct,data_train_enc_0.33_5,3000,2,100.0,14400,2,2508.63,0.0,199.33474135398865,488,83.73333333333333,33.56666666666667,193,86.07503607503607,33.4054834054834,tree,ml,0.33,5
Direct,data_train_enc_0.33_5,3000,2,100.0,14400,2,2497.2200000000003,0.0096106870840651,124.88958382606506,477,84.1,33.86666666666667,205,85.20923520923522,33.4054834054834,tree,ml,0.33,5
Direct,data_train_enc_0.33_5,3000,2,100.0,14400,2,2494.46,0.0080177673728365,121.61995935440063,499,83.36666666666666,33.96666666666667,206,85.13708513708514,32.323232323232325,tree,ml,0.33,5
Direct,data_train_enc_0.33_5,3000,2,100.0,14400,2,2505.5199999999995,0.0,190.5900876522064,481,83.96666666666667,33.766666666666666,189,86.36363636363636,33.83838383838384,tree,ml,0.33,5
Direct,data_train_enc_0.33_5,3000,2,100.0,14400,2,2520.751929884227,0.0,272.995573759079,480,84.0,33.5,175,87.37373737373737,35.42568542568543,tree,ml,0.33,5
Direct,data_train_enc_0.33_5,3000,3,100.0,14400,9,2531.39000096,3.174101497533882,14407.019452095032,453,84.89999999999999,33.96666666666667,185,86.65223665223665,33.18903318903319,tree,ml,0.33,5
Direct,data_train_enc_0.33_5,3000,3,100.0,14400,9,2532.2699999999995,2.84487831076262,14407.012897014618,420,86.0,34.36666666666667,188,86.43578643578643,33.62193362193362,tree,ml,0.33,5
Direct,data_train_enc_0.33_5,3000,3,100.0,14400,9,2518.66,3.2657246313511608,14406.554152965546,444,85.2,33.800000000000004,178,87.15728715728716,32.106782106782106,tree,ml,0.33,5
Direct,data_train_enc_0.33_5,3000,3,100.0,14400,9,2534.890000000001,3.26661117444934,14406.291795492172,433,85.56666666666666,33.800000000000004,176,87.3015873015873,33.76623376623377,tree,ml,0.33,5
Direct,data_train_enc_0.33_5,3000,3,100.0,14400,9,2558.4792339161586,2.411677758439283,14406.364622116089,424,85.86666666666667,33.36666666666667,162,88.31168831168831,35.42568542568543,tree,ml,0.33,5
Direct,data_train_enc_0.33_5,3000,4,100.0,14400,9,2574.9400000000005,1.4718789564018997,14412.522307872772,365,87.83333333333333,34.0,139,89.97113997113996,33.4054834054834,tree,ml,0.33,5
Direct,data_train_enc_0.33_5,3000,4,100.0,14400,9,2550.9800006,2.090569090601495,14412.59737420082,383,87.23333333333333,34.03333333333333,179,87.08513708513709,33.26118326118326,tree,ml,0.33,5
Direct,data_train_enc_0.33_5,3000,4,100.0,14400,9,2545.17,2.204567867763079,14414.01074576378,417,86.1,33.766666666666666,175,87.37373737373737,32.467532467532465,tree,ml,0.33,5
Direct,data_train_enc_0.33_5,3000,4,100.0,14400,9,2569.29,1.9020818981112704,14413.35177898407,383,87.23333333333333,33.6,161,88.38383838383838,33.694083694083695,tree,ml,0.33,5
Direct,data_train_enc_0.33_5,3000,4,100.0,14400,9,2578.106663884881,2.067154628387705,14413.300885915756,360,88.0,33.6,144,89.6103896103896,35.56998556998557,tree,ml,0.33,5
Direct,data_train_enc_r0.06_1,3000,1,100.0,14400,2,2349.9960334524567,0.0,6.273126125335693,623,79.23333333333333,77.96666666666667,283,79.58152958152958,78.71572871572872,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_1,3000,1,100.0,14400,2,2270.513853393887,0.0,6.127726316452026,497,83.43333333333334,84.13333333333334,240,82.68398268398268,84.4155844155844,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_1,3000,1,100.0,14400,2,2306.780402672429,0.0,3.3162355422973637,622,79.26666666666667,79.63333333333334,274,80.23088023088023,80.73593073593074,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_1,3000,1,100.0,14400,2,2240.803175136128,0.0,9.503750801086426,503,83.23333333333333,84.96666666666667,217,84.34343434343434,85.06493506493507,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_1,3000,1,100.0,14400,2,2177.841916489597,0.0,8.488195657730103,502,83.26666666666667,84.93333333333334,245,82.32323232323232,85.78643578643579,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_1,3000,2,100.0,14400,2,2387.548817438036,0.0093426587124625,148.43581128120422,584,80.53333333333333,77.86666666666666,259,81.31313131313132,79.22077922077922,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_1,3000,2,100.0,14400,2,2321.517244640404,0.0,96.2541048526764,570,81.0,80.03333333333333,266,80.8080808080808,79.65367965367966,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_1,3000,2,100.0,14400,2,2350.2463575225643,0.0,184.40678453445437,483,83.89999999999999,83.53333333333333,228,83.54978354978356,82.97258297258297,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_1,3000,2,100.0,14400,2,2389.2613889501104,0.0,176.75424242019653,599,80.03333333333333,77.8,305,77.994227994228,75.68542568542568,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_1,3000,2,100.0,14400,2,2225.9527967394165,0.0,249.8350200653076,556,81.46666666666667,82.46666666666667,250,81.96248196248196,83.54978354978356,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_1,3000,3,100.0,14400,9,2406.5920000615542,0.8966856710365085,14406.013568162918,550,81.66666666666667,78.0,247,82.17893217893217,78.35497835497836,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_1,3000,3,100.0,14400,9,2367.3594254264126,1.1181087469005864,14405.918123722076,519,82.69999999999999,81.6,252,81.81818181818183,80.23088023088023,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_1,3000,3,100.0,14400,9,2358.467677334708,0.9730408255740178,14406.794631004332,461,84.63333333333334,84.39999999999999,230,83.40548340548341,82.82828282828282,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_1,3000,3,100.0,14400,9,2438.5515331189445,1.7940058781775925,14406.425592899324,660,78.0,75.13333333333333,332,76.04617604617604,73.16017316017316,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_1,3000,3,100.0,14400,9,2276.364389067868,2.4236268442046,14405.284221172333,498,83.39999999999999,84.2,248,82.1067821067821,83.83838383838383,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_1,3000,4,100.0,14400,9,2415.8196961543053,0.5112910351620806,14411.576717615128,494,83.53333333333333,79.80000000000001,239,82.75613275613276,78.78787878787878,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_1,3000,4,100.0,14400,9,2373.5569816182588,1.320570352307767,14412.294856071472,471,84.3,83.39999999999999,233,83.1890331890332,81.74603174603175,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_1,3000,4,100.0,14400,9,2368.0221642081947,0.6096165812553236,14414.163715362549,458,84.73333333333333,85.03333333333333,217,84.34343434343434,84.48773448773449,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_1,3000,4,100.0,14400,9,2460.1133430335967,1.0905321843557372,14411.071215867996,668,77.73333333333333,74.0,343,75.25252525252525,72.07792207792207,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_1,3000,4,100.0,14400,9,2287.839485920166,1.9099015390711265,14412.03685760498,482,83.93333333333334,84.39999999999999,227,83.62193362193362,84.19913419913419,tree,lrrf,r0.06,1
Direct,data_train_enc_r0.06_2,3000,1,100.0,14400,2,2314.550232761499,0.0,6.86316180229187,615,79.5,78.2,291,79.004329004329,78.21067821067821,tree,lrrf,r0.06,2
Direct,data_train_enc_r0.06_2,3000,1,100.0,14400,2,2199.2271153296547,0.0,9.92783236503601,508,83.06666666666666,84.43333333333334,229,83.47763347763347,83.76623376623377,tree,lrrf,r0.06,2
Direct,data_train_enc_r0.06_2,3000,1,100.0,14400,2,2264.2305360683827,0.0,5.276418447494507,502,83.26666666666667,83.8,220,84.12698412698413,84.19913419913419,tree,lrrf,r0.06,2
Direct,data_train_enc_r0.06_2,3000,1,100.0,14400,2,2216.9032683055407,0.0,6.940752267837524,496,83.46666666666667,85.23333333333333,224,83.83838383838383,84.48773448773449,tree,lrrf,r0.06,2
Direct,data_train_enc_r0.06_2,3000,1,100.0,14400,2,2091.062579215669,0.0,9.72007441520691,624,79.2,80.86666666666666,295,78.71572871572872,79.50937950937951,tree,lrrf,r0.06,2
Direct,data_train_enc_r0.06_2,3000,2,100.0,14400,2,2370.2742261588323,0.0,249.76535868644717,593,80.23333333333333,76.26666666666667,267,80.73593073593074,77.84992784992785,tree,lrrf,r0.06,2
Direct,data_train_enc_r0.06_2,3000,2,100.0,14400,2,2286.975699619248,0.0,157.69800353050232,705,76.5,74.26666666666667,316,77.2005772005772,75.10822510822511,tree,lrrf,r0.06,2
Direct,data_train_enc_r0.06_2,3000,2,100.0,14400,2,2301.6810509280776,0.0,272.9905047416687,494,83.53333333333333,83.2,217,84.34343434343434,83.6940836940837,tree,lrrf,r0.06,2
Direct,data_train_enc_r0.06_2,3000,2,100.0,14400,2,2353.59399985036,0.0,114.78641033172607,625,79.16666666666666,76.86666666666667,279,79.87012987012987,77.7056277056277,tree,lrrf,r0.06,2
Direct,data_train_enc_r0.06_2,3000,2,100.0,14400,2,2186.7535941397555,0.0,148.79302501678467,775,74.16666666666667,74.16666666666667,331,76.11832611832612,75.6132756132756,tree,lrrf,r0.06,2
Direct,data_train_enc_r0.06_2,3000,3,100.0,14400,9,2396.571559489275,0.8136316073159894,14406.667734384537,570,81.0,76.1,267,80.73593073593074,76.6955266955267,tree,lrrf,r0.06,2
Direct,data_train_enc_r0.06_2,3000,3,100.0,14400,9,2328.317114504135,1.6899456277389682,14405.32162451744,536,82.13333333333334,81.16666666666667,230,83.40548340548341,81.52958152958153,tree,lrrf,r0.06,2
Direct,data_train_enc_r0.06_2,3000,3,100.0,14400,9,2320.6268240069053,1.037641718041405,14405.35070347786,468,84.39999999999999,84.93333333333334,198,85.71428571428571,86.36363636363636,tree,lrrf,r0.06,2
Direct,data_train_enc_r0.06_2,3000,3,100.0,14400,9,2402.3610955798717,2.043636118573432,14407.053845643995,661,77.96666666666667,74.86666666666667,312,77.48917748917748,75.10822510822511,tree,lrrf,r0.06,2
Direct,data_train_enc_r0.06_2,3000,3,100.0,14400,9,2216.526534365562,3.1048509250150627,14406.61292529106,642,78.60000000000001,79.5,280,79.7979797979798,79.58152958152958,tree,lrrf,r0.06,2
Direct,data_train_enc_r0.06_2,3000,4,100.0,14400,9,2405.360953543042,0.4452500000224659,14412.12544798851,531,82.3,77.46666666666667,239,82.75613275613276,79.14862914862914,tree,lrrf,r0.06,2
Direct,data_train_enc_r0.06_2,3000,4,100.0,14400,9,2348.4709109371333,1.0630780099335009,14412.071506261826,597,80.10000000000001,78.46666666666667,267,80.73593073593074,78.86002886002886,tree,lrrf,r0.06,2
