split,randomization,tree_depth,propensity_score_pred,oos_regret,oos_optimal_treatment,oos_avg_outcome,tree
1,0.5,1,log,136.91917201397044,0.6254,0.4821042551347481,"{'branching': ['V2.5'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.0, 1: 1.0}]}"
2,0.5,1,tree,63.745978844264606,0.7306,0.47494622787737645,"{'branching': ['V1.7'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
2,0.5,1,log,63.745978844264606,0.7306,0.47494622787737645,"{'branching': ['V1.7'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
3,0.5,1,tree,267.1767689190518,0.4387,0.49653262657223457,"{'branching': ['V2.9'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
3,0.5,1,log,222.40112135659396,0.5037,0.5010101913284815,"{'branching': [{0: 1.0, 1: 0.0}], 'leaves': ['pruned', 'pruned']}"
4,0.5,1,tree,45.060317485041686,0.7807,0.5201238450138038,"{'branching': ['V1.6'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
4,0.5,1,log,45.060317485041686,0.7807,0.5201238450138038,"{'branching': ['V1.6'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
5,0.5,1,tree,41.93274694285879,0.8023,0.5080037654424004,"{'branching': ['V1.5'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
5,0.5,1,log,41.93274694285879,0.8023,0.5080037654424004,"{'branching': ['V1.5'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
1,0.75,1,tree,46.27210173951742,0.7849,0.4911689621621919,"{'branching': ['V1.4'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
1,0.75,1,log,30.5457150353341,0.8304,0.49274160083261015,"{'branching': ['V1.5'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
2,0.75,1,tree,15.208549459051529,0.8823,0.4797999708158987,"{'branching': ['V1.4'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
2,0.75,1,log,17.75499524262392,0.8729,0.4795453262375409,"{'branching': ['V1.5'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
3,0.75,1,tree,176.01828243425723,0.5652,0.5056484752207154,"{'branching': ['V2.1'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.0, 1: 1.0}]}"
3,0.75,1,log,38.56077960256054,0.8099,0.5193942255038827,"{'branching': ['V1.5'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
4,0.75,1,tree,148.84461753957004,0.5962,0.5097454150083549,"{'branching': ['V2.4'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.0, 1: 1.0}]}"
4,0.75,1,log,28.545233951287443,0.8292,0.5217753533671795,"{'branching': ['V1.5'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
5,0.75,1,tree,41.93274694285879,0.8023,0.5080037654424004,"{'branching': ['V1.5'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
5,0.75,1,log,41.93274694285879,0.8023,0.5080037654424004,"{'branching': ['V1.5'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
1,0.9,1,tree,28.738488879904796,0.8373,0.4929223234481531,"{'branching': ['V1.6'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
1,0.9,1,log,387.48285593218293,0.249,0.457047886742927,"{'branching': ['V1.8'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.0, 1: 1.0}]}"
2,0.9,1,tree,15.208549459051529,0.8823,0.4797999708158987,"{'branching': ['V1.4'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
2,0.9,1,log,278.1258932510676,0.47,0.45350823643669735,"{'branching': ['V1.9'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.0, 1: 1.0}]}"
3,0.9,1,tree,93.41694843558194,0.6902,0.5139086086205825,"{'branching': ['V1.8'], 'leaves': [{0: 0.0, 1: 1.0}, {0: 1.0, 1: 0.0}]}"
3,0.9,1,log,345.73487817032503,0.3202,0.4886768156471072,"{'branching': ['V1.2'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.0, 1: 1.0}]}"
4,0.9,1,tree,338.8368780388737,0.3227,0.49074618895842403,"{'branching': ['V1.1'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.0, 1: 1.0}]}"
4,0.9,1,log,338.8368780388737,0.3227,0.49074618895842403,"{'branching': ['V1.1'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.0, 1: 1.0}]}"
5,0.9,1,tree,145.82182309200104,0.6274,0.49761485782748677,"{'branching': ['V2.4'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.0, 1: 1.0}]}"
5,0.9,1,log,307.5396289032706,0.4609,0.4814430772463591,"{'branching': ['V1.2'], 'leaves': [{0: 1.0, 1: 0.0}, {0: 0.0, 1: 1.0}]}"
