randomization,dataset,seed,model,oos_regret,oosp,solve_time
0.33,4,4,balanced_rf,137,0.9011544011544012,0.8585236072540283
0.33,4,4,lrrf,177,0.8722943722943723,0.8213682174682617
0.33,4,4,balanced_lr,136,0.9018759018759018,0.11093378067016602
0.33,4,5,balanced_rf,140,0.898989898989899,0.8586640357971191
0.33,4,5,lrrf,179,0.8708513708513709,0.7981510162353516
0.33,4,5,balanced_lr,143,0.8968253968253969,0.10911178588867188
0.33,5,1,balanced_rf,128,0.9076479076479076,0.8488478660583496
0.33,5,1,lrrf,169,0.8780663780663781,0.7967288494110107
0.33,5,1,balanced_lr,126,0.9090909090909091,0.1128382682800293
0.33,5,2,balanced_rf,115,0.9170274170274171,0.8581204414367676
0.33,5,2,lrrf,177,0.8722943722943723,0.7920804023742676
0.33,5,2,balanced_lr,137,0.9011544011544012,0.10688900947570801
0.33,5,3,balanced_rf,127,0.9083694083694084,0.8279972076416016
0.33,5,3,lrrf,197,0.8578643578643579,0.7888202667236328
0.33,5,3,balanced_lr,143,0.8968253968253969,0.11031723022460938
0.33,5,4,balanced_rf,121,0.9126984126984127,0.8599743843078613
0.33,5,4,lrrf,186,0.8658008658008658,0.8542985916137695
0.33,5,4,balanced_lr,134,0.9033189033189033,0.11411261558532715
0.33,5,5,balanced_rf,108,0.922077922077922,0.8133141994476318
0.33,5,5,lrrf,197,0.8578643578643579,0.7894370555877686
0.33,5,5,balanced_lr,133,0.9040404040404041,0.1108698844909668
r0.06,1,1,balanced_rf,353,0.7453102453102453,0.8324065208435059
r0.06,1,1,lrrf,216,0.8441558441558441,0.941791296005249
r0.06,1,1,balanced_lr,388,0.7200577200577201,0.12352776527404785
r0.06,1,2,balanced_rf,217,0.8434343434343434,0.8420946598052979
r0.06,1,2,lrrf,152,0.8903318903318903,0.9257168769836426
r0.06,1,2,balanced_lr,194,0.86002886002886,0.11953115463256836
r0.06,1,3,balanced_rf,302,0.7821067821067821,0.7610561847686768
r0.06,1,3,lrrf,203,0.8535353535353535,0.8975768089294434
r0.06,1,3,balanced_lr,326,0.7647907647907648,0.11636638641357422
r0.06,1,4,balanced_rf,262,0.810966810966811,0.8349754810333252
r0.06,1,4,lrrf,156,0.8874458874458875,0.9250237941741943
r0.06,1,4,balanced_lr,160,0.8845598845598845,0.12256121635437012
r0.06,1,5,balanced_rf,188,0.8643578643578643,0.8446447849273682
r0.06,1,5,lrrf,169,0.8780663780663781,1.003610610961914
r0.06,1,5,balanced_lr,210,0.8484848484848485,0.11773252487182617
r0.06,2,1,balanced_rf,415,0.7005772005772006,0.8338100910186768
r0.06,2,1,lrrf,292,0.7893217893217893,0.8786005973815918
r0.06,2,1,balanced_lr,604,0.5642135642135642,0.13040661811828613
r0.06,2,2,balanced_rf,234,0.8311688311688312,0.8380241394042969
r0.06,2,2,lrrf,148,0.8932178932178932,1.0263433456420898
r0.06,2,2,balanced_lr,197,0.8578643578643579,0.11922669410705566
r0.06,2,3,balanced_rf,299,0.7842712842712842,0.7811732292175293
r0.06,2,3,lrrf,216,0.8441558441558441,0.9120090007781982
r0.06,2,3,balanced_lr,364,0.7373737373737373,0.11840295791625977
r0.06,2,4,balanced_rf,258,0.8138528138528138,0.831291675567627
r0.06,2,4,lrrf,157,0.8867243867243867,0.9754486083984375
r0.06,2,4,balanced_lr,150,0.8917748917748918,0.11745500564575195
r0.06,2,5,balanced_rf,198,0.8571428571428571,0.8497569561004639
r0.06,2,5,lrrf,154,0.8888888888888888,0.9168498516082764
r0.06,2,5,balanced_lr,193,0.8607503607503607,0.1208338737487793
r0.06,3,1,balanced_rf,310,0.7763347763347763,0.8394074440002441
r0.06,3,1,lrrf,223,0.8391053391053391,0.924544095993042
r0.06,3,1,balanced_lr,410,0.7041847041847041,0.12471461296081543
r0.06,3,2,balanced_rf,221,0.8405483405483406,0.8531241416931152
r0.06,3,2,lrrf,160,0.8845598845598845,0.903815507888794
r0.06,3,2,balanced_lr,170,0.8773448773448773,0.11794805526733398
r0.06,3,3,balanced_rf,277,0.8001443001443002,0.8328938484191895
r0.06,3,3,lrrf,173,0.8751803751803752,0.948481559753418
r0.06,3,3,balanced_lr,298,0.784992784992785,0.1198580265045166
r0.06,3,4,balanced_rf,239,0.8275613275613276,0.7955267429351807
r0.06,3,4,lrrf,165,0.8809523809523809,0.9150211811065674
r0.06,3,4,balanced_lr,153,0.8896103896103896,0.1154022216796875
r0.06,3,5,balanced_rf,213,0.8463203463203464,0.8528826236724854
r0.06,3,5,lrrf,180,0.8701298701298701,1.0194213390350342
r0.06,3,5,balanced_lr,198,0.8571428571428571,0.11734986305236816
r0.06,4,1,balanced_rf,629,0.5461760461760462,0.8322875499725342
r0.06,4,1,lrrf,847,0.3888888888888889,0.9048488140106201
r0.06,4,1,balanced_lr,1059,0.23593073593073594,0.12892532348632812
r0.06,4,2,balanced_rf,216,0.8441558441558441,0.8305001258850098
r0.06,4,2,lrrf,156,0.8874458874458875,0.9277293682098389
r0.06,4,2,balanced_lr,164,0.8816738816738817,0.11642050743103027
r0.06,4,3,balanced_rf,273,0.803030303030303,0.7761845588684082
r0.06,4,3,lrrf,200,0.8556998556998557,0.9142708778381348
r0.06,4,3,balanced_lr,272,0.8037518037518038,0.11738872528076172
r0.06,4,4,balanced_rf,207,0.8506493506493507,0.8441054821014404
r0.06,4,4,lrrf,182,0.8686868686868687,0.978273868560791
r0.06,4,4,balanced_lr,166,0.8802308802308803,0.11920428276062012
r0.06,4,5,balanced_rf,187,0.8650793650793651,0.8506643772125244
r0.06,4,5,lrrf,171,0.8766233766233766,0.9362988471984863
r0.06,4,5,balanced_lr,204,0.8528138528138528,0.11573529243469238
r0.06,5,1,balanced_rf,370,0.733044733044733,0.7840132713317871
r0.06,5,1,lrrf,407,0.7063492063492064,0.9466948509216309
r0.06,5,1,balanced_lr,730,0.4733044733044733,0.13063311576843262
r0.06,5,2,balanced_rf,204,0.8528138528138528,0.8283016681671143
r0.06,5,2,lrrf,135,0.9025974025974026,0.9336140155792236
r0.06,5,2,balanced_lr,164,0.8816738816738817,0.11867976188659668
r0.06,5,3,balanced_rf,342,0.7532467532467533,0.7518656253814697
r0.06,5,3,lrrf,287,0.7929292929292929,0.9073781967163086
r0.06,5,3,balanced_lr,431,0.689033189033189,0.12605500221252441
r0.06,5,4,balanced_rf,216,0.8441558441558441,0.8338425159454346
r0.06,5,4,lrrf,176,0.873015873015873,0.9199564456939697
r0.06,5,4,balanced_lr,158,0.886002886002886,0.11815071105957031
r0.06,5,5,balanced_rf,214,0.8455988455988456,0.8453211784362793
r0.06,5,5,lrrf,186,0.8658008658008658,0.991034984588623
r0.06,5,5,balanced_lr,206,0.8513708513708513,0.12776899337768555
r0.11,1,1,balanced_rf,503,0.637085137085137,0.7921788692474365
r0.11,1,1,lrrf,697,0.4971139971139971,0.8267779350280762
r0.11,1,1,balanced_lr,790,0.43001443001443,0.12126708030700684
r0.11,1,2,balanced_rf,297,0.7857142857142857,0.8385787010192871
r0.11,1,2,lrrf,202,0.8542568542568543,0.9457945823669434
r0.11,1,2,balanced_lr,207,0.8506493506493507,0.12568402290344238
r0.11,1,3,balanced_rf,267,0.8073593073593074,0.8215200901031494
r0.11,1,3,lrrf,193,0.8607503607503607,0.8793985843658447
r0.11,1,3,balanced_lr,260,0.8124098124098124,0.11620974540710449
r0.11,1,4,balanced_rf,471,0.6601731601731602,0.8204376697540283
r0.11,1,4,lrrf,380,0.7258297258297258,1.5193567276000977
r0.11,1,4,balanced_lr,320,0.7691197691197691,0.11659479141235352
r0.11,1,5,balanced_rf,242,0.8253968253968254,0.8437395095825195
r0.11,1,5,lrrf,180,0.8701298701298701,0.9038770198822021
r0.11,1,5,balanced_lr,200,0.8556998556998557,0.12121820449829102
r0.11,2,1,balanced_rf,507,0.6341991341991342,0.8167922496795654
r0.11,2,1,lrrf,594,0.5714285714285714,0.8881847858428955
r0.11,2,1,balanced_lr,700,0.494949494949495,0.13246893882751465
r0.11,2,2,balanced_rf,296,0.7864357864357865,0.829397439956665
r0.11,2,2,lrrf,197,0.8578643578643579,1.0051259994506836
r0.11,2,2,balanced_lr,207,0.8506493506493507,0.11804652214050293
r0.11,2,3,balanced_rf,303,0.7813852813852814,0.7940199375152588
r0.11,2,3,lrrf,232,0.8326118326118326,0.9418854713439941
r0.11,2,3,balanced_lr,304,0.7806637806637806,0.12331581115722656
r0.11,2,4,balanced_rf,532,0.6161616161616161,0.8380944728851318
r0.11,2,4,lrrf,268,0.8066378066378066,1.6096470355987549
r0.11,2,4,balanced_lr,231,0.8333333333333334,0.12002038955688477
r0.11,2,5,balanced_rf,265,0.8088023088023089,0.7776627540588379
r0.11,2,5,lrrf,207,0.8506493506493507,0.9821984767913818
r0.11,2,5,balanced_lr,217,0.8434343434343434,0.12201619148254395
r0.11,3,1,balanced_rf,603,0.564935064935065,0.818248987197876
r0.11,3,1,lrrf,773,0.4422799422799423,0.8874948024749756
r0.11,3,1,balanced_lr,760,0.45165945165945165,0.12118220329284668
r0.11,3,2,balanced_rf,291,0.79004329004329,0.8377590179443359
r0.11,3,2,lrrf,205,0.8520923520923521,0.9380922317504883
r0.11,3,2,balanced_lr,197,0.8578643578643579,0.12322425842285156
r0.11,3,3,balanced_rf,242,0.8253968253968254,0.8547086715698242
r0.11,3,3,lrrf,181,0.8694083694083694,0.9707090854644775
r0.11,3,3,balanced_lr,287,0.7929292929292929,0.1229097843170166
r0.11,3,4,balanced_rf,325,0.7655122655122655,0.8542201519012451
r0.11,3,4,lrrf,284,0.7950937950937951,1.714714527130127
r0.11,3,4,balanced_lr,212,0.847041847041847,0.12295079231262207
r0.11,3,5,balanced_rf,248,0.8210678210678211,0.8649511337280273
r0.11,3,5,lrrf,207,0.8506493506493507,1.0163564682006836
r0.11,3,5,balanced_lr,207,0.8506493506493507,0.11801910400390625
r0.11,4,1,balanced_rf,543,0.6082251082251082,0.8607227802276611
r0.11,4,1,lrrf,807,0.41774891774891776,0.9601631164550781
r0.11,4,1,balanced_lr,843,0.3917748917748918,0.13950467109680176
r0.11,4,2,balanced_rf,302,0.7821067821067821,0.8467099666595459
r0.11,4,2,lrrf,190,0.862914862914863,0.9578526020050049
r0.11,4,2,balanced_lr,192,0.8614718614718615,0.12345004081726074
r0.11,4,3,balanced_rf,296,0.7864357864357865,0.8059132099151611
r0.11,4,3,lrrf,205,0.8520923520923521,0.8969817161560059
r0.11,4,3,balanced_lr,309,0.7770562770562771,0.12331533432006836
r0.11,4,4,balanced_rf,352,0.746031746031746,0.7745537757873535
r0.11,4,4,lrrf,256,0.8152958152958153,1.5257720947265625
r0.11,4,4,balanced_lr,208,0.84992784992785,0.11483311653137207
r0.11,4,5,balanced_rf,238,0.8282828282828283,0.8056061267852783
r0.11,4,5,lrrf,212,0.847041847041847,0.9079837799072266
r0.11,4,5,balanced_lr,204,0.8528138528138528,0.11628055572509766
r0.11,5,1,balanced_rf,539,0.6111111111111112,0.8278477191925049
r0.11,5,1,lrrf,725,0.4769119769119769,0.8729941844940186
r0.11,5,1,balanced_lr,797,0.424963924963925,0.12328886985778809
r0.11,5,2,balanced_rf,297,0.7857142857142857,0.7627253532409668
r0.11,5,2,lrrf,173,0.8751803751803752,0.9473888874053955
r0.11,5,2,balanced_lr,178,0.8715728715728716,0.11461091041564941
r0.11,5,3,balanced_rf,252,0.8181818181818182,0.7832634449005127
r0.11,5,3,lrrf,179,0.8708513708513709,0.8824019432067871
r0.11,5,3,balanced_lr,275,0.8015873015873016,0.12219667434692383
r0.11,5,4,balanced_rf,348,0.7489177489177489,0.7867481708526611
r0.11,5,4,lrrf,273,0.803030303030303,1.612536907196045
r0.11,5,4,balanced_lr,188,0.8643578643578643,0.11549687385559082
r0.11,5,5,balanced_rf,218,0.8427128427128427,0.7789230346679688
r0.11,5,5,lrrf,213,0.8463203463203464,0.9226369857788086
r0.11,5,5,balanced_lr,202,0.8542568542568543,0.12041616439819336
