approach,dataset,nrow,depth,b_limit,time_limit,status,obj value,gap,solving time,regret train,best found train,treatment acc train,regret test,best found test,treatnent acc test,pred
IPW,data_train_enc_0.1_4,3000,3,100,3600,2,1744.070215,0,1677.534148,402,86.6,14.46666667,209,84.92063492,14.64646465,tree
IPW,data_train_enc_0.1_4,3000,4,100,3600,9,1751.370646,3.590169151,3621.276994,375,87.5,14.16666667,186,86.58008658,14.35786436,tree
IPW,data_train_enc_0.1_5,3000,1,100,3600,2,1679.918606,0,2.178728104,487,83.76666667,14.2,192,86.14718615,14.79076479,tree
IPW,data_train_enc_0.1_5,3000,2,100,3600,2,1707.714513,0,13.02529573,489,83.7,15.26666667,201,85.4978355,14.79076479,tree
IPW,data_train_enc_0.1_5,3000,3,100,3600,2,1732.938573,0,1681.518597,526,82.46666667,16.03333333,213,84.63203463,15.36796537,tree
IPW,data_train_enc_0.1_5,3000,4,100,3600,9,1766.501453,3.680212021,3622.95583,346,88.46666667,13.86666667,135,90.25974026,13.49206349,tree
IPW,data_train_enc_0.33_1,3000,1,100,3600,2,2497.805676,0,3.417457342,469,84.36666667,31.86666667,210,84.84848485,34.7041847,tree
IPW,data_train_enc_0.33_1,3000,2,100,3600,2,2552.720429,0,60.17163587,425,85.83333333,32.16666667,198,85.71428571,34.41558442,tree
IPW,data_train_enc_0.33_1,3000,3,100,3600,9,2603.16694,14.36949121,3610.919077,401,86.63333333,32.66666667,196,85.85858586,34.7041847,tree
IPW,data_train_enc_0.33_1,3000,4,100,3600,9,2693.992082,10.58851521,3622.874962,316,89.46666667,32.9,164,88.16738817,35.35353535,tree
IPW,data_train_enc_0.33_2,3000,1,100,3600,2,2527.511843,0,2.915185213,458,84.73333333,32.4,221,84.05483405,33.54978355,tree
IPW,data_train_enc_0.33_2,3000,2,100,3600,2,2575.972408,0,51.03883171,425,85.83333333,33,213,84.63203463,33.40548341,tree
IPW,data_train_enc_0.33_2,3000,3,100,3600,9,2649.77298,12.6009378,3613.555981,365,87.83333333,33.1,189,86.36363636,33.62193362,tree
IPW,data_train_enc_0.33_2,3000,4,100,3600,9,2706.318575,11.15882429,3627.02691,336,88.8,33.56666667,178,87.15728716,33.54978355,tree
IPW,data_train_enc_0.33_3,3000,1,100,3600,2,2534.284738,0,3.499518156,479,84.03333333,33.3,200,85.56998557,31.6017316,tree
IPW,data_train_enc_0.33_3,3000,2,100,3600,2,2576.088162,0,84.22817659,451,84.96666667,33.8,187,86.50793651,31.67388167,tree
IPW,data_train_enc_0.33_3,3000,3,100,3600,9,2645.451614,12.84964457,3612.695995,403,86.56666667,33.93333333,171,87.66233766,31.0966811,tree
IPW,data_train_enc_0.33_3,3000,4,100,3600,9,2685.92508,12.58650672,3621.558317,348,88.4,34.23333333,154,88.88888889,31.0966811,tree
IPW,data_train_enc_0.33_4,3000,1,100,3600,2,2581.465693,0,4.389019251,457,84.76666667,32.6,222,83.98268398,33.11688312,tree
IPW,data_train_enc_0.33_4,3000,2,100,3600,2,2623.966204,0,87.92223144,434,85.53333333,32.93333333,212,84.7041847,33.26118326,tree
IPW,data_train_enc_0.33_4,3000,3,100,3600,9,2693.128494,14.22008326,3610.48074,403,86.56666667,33.46666667,205,85.20923521,33.83838384,tree
IPW,data_train_enc_0.33_4,3000,4,100,3600,9,2686.97359,14.82048385,3620.838191,374,87.53333333,33.23333333,198,85.71428571,33.26118326,tree
IPW,data_train_enc_0.33_5,3000,1,100,3600,2,2478.606633,0,3.880884171,487,83.76666667,32,192,86.14718615,34.41558442,tree
IPW,data_train_enc_0.33_5,3000,2,100,3600,2,2541.12689,0,62.08165026,454,84.86666667,32.4,169,87.80663781,33.91053391,tree
IPW,data_train_enc_0.33_5,3000,3,100,3600,9,2585.545248,13.26428749,3610.438376,452,84.93333333,33.33333333,183,86.7965368,33.98268398,tree
IPW,data_train_enc_0.33_5,3000,4,100,3600,9,2641.088447,14.41992303,3622.77015,357,88.1,33,160,88.45598846,34.77633478,tree
IPW,data_train_enc_0.6_1,3000,1,100,3600,2,2543.22261,0,4.905136824,607,79.76666667,59.06666667,258,81.38528139,58.8023088,tree
IPW,data_train_enc_0.6_1,3000,2,100,3600,2,2943.387802,0,23.65788889,511,82.96666667,66.33333333,233,83.18903319,63.78066378,tree
IPW,data_train_enc_0.6_1,3000,3,100,3600,2,3235.582865,0,1132.883229,443,85.23333333,68.86666667,199,85.64213564,66.52236652,tree
IPW,data_train_enc_0.6_1,3000,4,100,3600,9,3238.505942,2.747184984,3622.286394,439,85.36666667,68.8,199,85.64213564,66.37806638,tree
IPW,data_train_enc_0.6_2,3000,1,100,3600,2,2535.187192,0,3.623761177,458,84.73333333,68.23333333,221,84.05483405,66.73881674,tree
IPW,data_train_enc_0.6_2,3000,2,100,3600,2,2863.333526,0,60.46322322,490,83.66666667,65.8,254,81.67388167,64.93506494,tree
IPW,data_train_enc_0.6_2,3000,3,100,3600,2,3097.89566,0,1152.234454,429,85.7,68.16666667,213,84.63203463,68.03751804,tree
IPW,data_train_enc_0.6_2,3000,4,100,3600,9,3051.794229,4.499268705,3627.171647,491,83.63333333,66.53333333,244,82.3953824,65.44011544,tree
IPW,data_train_enc_0.6_3,3000,1,100,3600,2,2540.842182,0,3.072355509,596,80.13333333,60.06666667,269,80.59163059,56.63780664,tree
IPW,data_train_enc_0.6_3,3000,2,100,3600,2,2873.411441,0.009503298,19.92910933,532,82.26666667,66.1,212,84.7041847,64.28571429,tree
IPW,data_train_enc_0.6_3,3000,3,100,3600,2,3119.137469,0,982.7779379,466,84.46666667,69.16666667,179,87.08513709,65.94516595,tree
IPW,data_train_enc_0.6_3,3000,4,100,3600,9,3154.86418,1.917380327,3622.332466,456,84.8,68.7,168,87.87878788,65.15151515,tree
IPW,data_train_enc_0.6_4,3000,1,100,3600,2,2538.300888,0,3.275164604,457,84.76666667,67.43333333,222,83.98268398,68.47041847,tree
IPW,data_train_enc_0.6_4,3000,2,100,3600,2,2857.5715,0,58.69770122,524,82.53333333,68.06666667,245,82.32323232,67.24386724,tree
IPW,data_train_enc_0.6_4,3000,3,100,3600,9,3058.830834,3.222812723,3610.885349,477,84.1,67.23333333,220,84.12698413,67.74891775,tree
IPW,data_train_enc_0.6_4,3000,4,100,3600,9,3092.932275,3.387227806,3621.020549,450,85,67.3,208,84.99278499,68.47041847,tree
IPW,data_train_enc_0.6_5,3000,1,100,3600,2,2517.07998,0,4.229783773,487,83.76666667,67.83333333,192,86.14718615,67.6046176,tree
IPW,data_train_enc_0.6_5,3000,2,100,3600,2,2898.077488,0,17.86917281,514,82.86666667,65.76666667,230,83.40548341,65.00721501,tree
IPW,data_train_enc_0.6_5,3000,3,100,3600,2,3155.040213,0,1244.743767,453,84.9,67.8,189,86.36363636,68.83116883,tree
IPW,data_train_enc_0.6_5,3000,4,100,3600,9,3179.616276,2.866942796,3622.30566,482,83.93333333,68.13333333,196,85.85858586,68.61471861,tree
IPW,data_train_enc_0.85_1,3000,1,100,3600,2,3812.128694,0,8.158149481,885,70.5,70.16666667,396,71.42857143,70.49062049,tree
IPW,data_train_enc_0.85_1,3000,2,100,3600,2,4485.072081,0,285.0676379,1267,57.76666667,58.26666667,579,58.22510823,58.44155844,tree
IPW,data_train_enc_0.85_1,3000,3,100,3600,9,4830.672678,33.76358064,3610.744775,1015,66.16666667,64.96666667,485,65.00721501,63.85281385,tree
IPW,data_train_enc_0.85_1,3000,4,100,3600,9,3866.85318,68.95092572,3623.083793,562,81.26666667,75.5,239,82.75613276,76.55122655,tree
IPW,data_train_enc_0.85_2,3000,1,100,3600,2,3754.169326,0,7.267430305,878,70.73333333,70.5,403,70.92352092,69.76911977,tree
IPW,data_train_enc_0.85_2,3000,2,100,3600,2,4640.752057,0,208.8117115,1161,61.3,63.43333333,527,61.97691198,62.91486291,tree
IPW,data_train_enc_0.85_2,3000,3,100,3600,9,4875.203294,32.20064439,3611.811749,1097,63.43333333,63.26666667,504,63.63636364,64.28571429,tree
IPW,data_train_enc_0.85_2,3000,4,100,3600,9,4816.002633,36.07057548,3620.756603,775,74.16666667,76.46666667,334,75.9018759,75.97402597,tree
IPW,data_train_enc_0.85_3,3000,1,100,3600,2,3775.002011,0,4.37119031,902,69.93333333,69.46666667,379,72.65512266,72.00577201,tree
IPW,data_train_enc_0.85_3,3000,2,100,3600,2,4563.181363,0,212.6056046,1153,61.56666667,62.53333333,535,61.3997114,64.86291486,tree
IPW,data_train_enc_0.85_3,3000,3,100,3600,9,5025.726125,25.78424768,3611.174943,920,69.33333333,69.73333333,458,66.95526696,68.83116883,tree
IPW,data_train_enc_0.85_3,3000,4,100,3600,9,4039.447856,61.15715357,3620.494216,686,77.13333333,75.46666667,334,75.9018759,75.03607504,tree
IPW,data_train_enc_0.85_4,3000,1,100,3600,2,3807.988267,0,12.39859915,872,70.93333333,71.1,409,70.49062049,68.47041847,tree
IPW,data_train_enc_0.85_4,3000,2,100,3600,2,4527.890215,0,183.4915683,1167,61.1,63.3,521,62.40981241,63.2034632,tree
IPW,data_train_enc_0.85_4,3000,3,100,3600,9,5053.687614,26.12317798,3610.654028,694,76.86666667,77.06666667,318,77.05627706,75.3968254,tree
IPW,data_train_enc_0.85_4,3000,4,100,3600,9,3943.314756,64.96257321,3621.769699,863,71.23333333,71.4,413,70.2020202,68.83116883,tree
IPW,data_train_enc_0.85_5,3000,1,100,3600,2,3794.279444,0,15.00385308,867,71.1,70.43333333,414,70.12987013,69.91341991,tree
IPW,data_train_enc_0.85_5,3000,2,100,3600,2,4626.924536,0,134.2869949,1129,62.36666667,63.4,559,59.66810967,62.98701299,tree
IPW,data_train_enc_0.85_5,3000,3,100,3600,9,4962.173195,31.25835809,3610.761604,980,67.33333333,68.7,439,68.32611833,70.995671,tree
IPW,data_train_enc_0.85_5,3000,4,100,3600,9,4087.182726,60.25958348,3620.839762,1129,62.36666667,57.03333333,526,62.04906205,57.5036075,tree
