t,ipw,y,y0,y1,y2,y3,DisablingCondition,Employed,Gender_Female,Gender_Male,PriorLivingCategory_Homeless_Situations,PriorLivingCategory_Institutional_Situations,PriorLivingCategory_Temporary_and_Permanent_Housing_Situations,PriorNegExitCt,Race_BlackAfAmerican,Race_Hispanic,Race_Other,Race_White,SleepLoc_Other,SleepLoc_Outdoors,SleepLoc_Safe_Haven,SleepLoc_Shelters,SleepLoc_Transitional_Housing,VeteranStatus,score_0to3,score_4to7,score_8to11,score_12to17,TotalMonthlyIncome_unknown,TotalMonthlyIncome_0,TotalMonthlyIncome_<250,TotalMonthlyIncome_250to1000,TotalMonthlyIncome_>=1000,EnrollAge_<35,EnrollAge_35to50,EnrollAge_51to60,EnrollAge_>60,TimeOnStreet_unknown_1,TimeOnStreet_<1Yr,TimeOnStreet_1to2yr,TimeOnStreet_>2yr
0,1.060361467,0,0.342076829,0.769352806,0.881229505,0.879214942,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1
0,1.06420571,0,0.28706356,0.768880391,0.772612232,0.681898892,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1
0,1.051998245,0,0.433528558,0.781503385,0.605165811,0.91096586,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1
0,1.062455708,0,0.309463797,0.570152714,0.672756118,0.873460293,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1
0,1.043123426,1,0.682230277,0.929091911,0.981246157,0.926505446,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0
0,1.171455595,0,0.249028691,0.551658631,0.579585202,0.752525628,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1
0,1.1470806,1,0.619915093,0.89298717,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1
0,1.222038136,0,0.411447296,0.810550117,0.895366033,0.924177945,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1
0,1.156927393,1,0.640353949,0.857598849,0.60098386,0.823001087,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1
1,12.35470438,1,0.514028807,0.910632017,0.923446408,0.938227773,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1
0,1.058383574,0,0.460889467,0.886634769,0.818100186,0.939036131,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1
0,1.216015096,0,0.320001143,0.800786765,0.792646669,0.931353629,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1
0,1.144913733,0,0.364696021,0.922231129,0.769517445,0.898939252,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1
3,17.04054758,1,0.510286376,0.888571836,0.971278826,0.901330173,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1
0,1.236139181,1,0.538716498,0.555073897,0.725134224,0.890677571,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1
0,1.514210699,0,0.48832624,0.955299839,0.987153745,0.888385355,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1
0,1.073114572,0,0.467412482,0.847767079,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1
0,1.184482069,0,0.341112108,0.768833498,0.960737124,0.786791444,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1
0,1.174310469,0,0.339334478,0.894425707,0.99420547,0.830929577,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1,12.30861536,1,0.674384316,0.789173963,0.971221056,0.926544726,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1
0,1.143499221,0,0.405804746,0.722515376,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1
0,1.142525527,1,0.72391301,0.884211983,0.881114418,0.934232712,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1
0,1.247285709,0,0.285466839,0.911313446,0.510722169,0.864116967,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1
0,1.822243882,0,0.27951346,0.759320421,0.997977112,0.889439225,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1
0,1.059897971,0,0.645803278,0.899992256,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
0,1.189579959,1,0.763705227,0.891378142,0.831001118,0.958916605,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1
0,1.151906337,1,0.77575427,0.9343429,0.843332075,0.915304661,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1
0,1.049875221,0,0.544100486,0.757540789,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1
0,1.140789838,1,0.676437593,0.926550803,0.97895405,0.752416432,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1
0,1.895234639,0,0.374315844,0.875903358,0.969349245,0.912344694,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1
1,4.004575581,1,0.512034234,0.818385383,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1
1,2.209578981,1,0.805322147,0.920477243,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1
0,1.183216718,0,0.240070881,0.74902392,0.922116459,0.716067851,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1
0,1.195665958,1,0.76246508,0.764454888,0.950386879,0.847231269,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1
0,1.82861837,1,0.628262749,0.879063204,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1
0,1.064607937,1,0.63472986,0.602057885,0.250158456,0.384356529,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1
0,1.235592519,0,0.504317796,0.843314049,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1
0,1.678263512,1,0.654787685,0.870757973,0.976364712,0.887517512,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1
0,1.187294828,1,0.682472313,0.82164619,0.869066193,0.869253099,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1
0,1.195958138,1,0.737993841,0.885645206,0.808353221,0.935199738,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1
0,1.268469757,1,0.713805792,0.865446307,0.994966215,0.95927459,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1
0,1.063900514,0,0.541234395,0.888429351,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1
3,27.03404248,1,0.436435314,0.515723773,0.503251959,0.887421846,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1
0,1.526830251,0,0.434418953,0.793504407,0.957713743,0.69308722,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1
0,1.051165649,0,0.323392031,0.787334207,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
0,1.092071248,0,0.22627349,0.707417564,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1
1,6.290809622,1,0.342217729,0.749276529,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
0,1.177293205,0,0.224103399,0.529195351,0.516343542,0.652390122,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1
0,1.167368454,1,0.662816477,0.810730696,0.853955618,0.885730445,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1
2,50.19476637,1,0.637073038,0.861485256,0.95095532,0.969561815,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1
0,1.047580222,0,0.260113581,0.657774487,0.632383242,0.707494378,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1
1,8.718764379,1,0.446175983,0.742862811,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1
0,1.075117986,0,0.305884443,0.570747854,0.715252727,0.878340244,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1
0,1.143785832,1,0.605337517,0.617119683,0.841802752,0.809924483,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1
0,1.152568086,0,0.361913134,0.887235739,0.691877061,0.947654665,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1
1,27.2274013,1,0.398862556,0.561480096,0.786738976,0.714643419,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1
0,1.219750895,1,0.687674499,0.834478185,0.99317401,0.951987028,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1
0,1.215398442,0,0.399564995,0.767954265,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1
0,1.041171473,0,0.313127255,0.729676682,0.977694335,0.952141106,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1
0,1.169986219,0,0.453638284,0.766919977,0.904328266,0.877233565,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1
0,1.056086117,0,0.346008397,0.674061969,0.965823054,0.912564218,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1
0,1.169145893,1,0.700881001,0.690178104,0.908762877,0.962466538,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1
0,1.184423523,1,0.563312803,0.570889615,0.699945477,0.631600022,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1
0,1.206010628,0,0.217062281,0.448721243,0.920269751,0.777772248,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1
0,1.2527985,1,0.760209786,0.809496572,0.86450668,0.880260885,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1
0,1.12899994,1,0.549907948,0.873377702,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1
0,1.230244797,0,0.397854669,0.762886065,0.91513349,0.918549478,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1
0,1.163853967,1,0.673079312,0.731620779,0.976356636,0.885949194,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1
1,2.771210329,1,0.68821976,0.783945618,0.968551934,0.969384015,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1
0,1.196087029,0,0.219000793,0.798872333,0.896084499,0.804216921,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1
0,1.19385229,0,0.274293338,0.728139817,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0
0,1.173657149,1,0.660590726,0.909054107,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1
0,1.248946384,0,0.224069826,0.783421115,0.567321316,0.641678631,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1
0,1.182189699,0,0.287175021,0.713688879,0.926135588,0.853067279,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1
0,1.197888749,0,0.671300905,0.909415956,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1
0,1.263475462,0,0.254748944,0.652373711,0.523872791,0.640189826,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1
0,1.048659055,1,0.646176403,0.866814397,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1
0,1.061060272,1,0.507947696,0.819407589,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1
0,1.201927361,0,0.280853755,0.766747457,0.817904983,0.926165402,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1
1,7.700409231,0,0.438016058,0.798537532,0.98492397,0.911696732,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1
0,1.234130375,1,0.48798141,0.410696707,0.551657982,0.705370069,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1
0,1.164618973,0,0.265180203,0.492357205,0.301913538,0.468433559,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1
0,1.235282087,0,0.356859448,0.808920927,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1
0,1.184600401,0,0.21473585,0.739131565,0.693359029,0.608314633,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1
0,1.177580827,1,0.717474853,0.879222956,0.980500923,0.93684119,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1
0,1.90074185,0,0.406384313,0.943089297,0.824210543,0.90190661,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1
0,1.455323578,0,0.358693665,0.844630619,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1
0,1.206487442,0,0.332373676,0.583794014,0.869872579,0.77561307,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1
0,1.167028634,1,0.79632034,0.894253008,0.96680369,0.969126523,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1
0,1.122467034,1,0.710618156,0.826183985,0.990650264,0.931229234,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1
0,1.165243472,1,0.469452498,0.844164088,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1
0,1.172460735,0,0.283976616,0.858916374,0.916475427,0.705925047,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1
0,1.946264804,0,0.381141133,0.904494262,0.797105437,0.926960647,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1
0,1.882688653,1,0.815014617,0.9845146,0.918840261,0.968134522,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1
0,1.058906527,0,0.205804497,0.459811354,0.854805848,0.742370844,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1
0,1.044041495,0,0.27461406,0.693486796,0.54573298,0.808610857,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1
0,1.154342853,0,0.221426485,0.677642614,0.816619322,0.820335627,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1
0,1.166667619,0,0.378168656,0.748803125,0.977999348,0.89953804,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
0,1.084307107,0,0.344695408,0.799565724,0.911825462,0.96608901,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1
1,2.992337746,1,0.464111448,0.794952726,0.89302278,0.797208428,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1
1,6.640107827,1,0.414745566,0.812261713,0.932408116,0.941005349,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1
0,1.189363551,0,0.413565598,0.788680457,0.958448226,0.896247149,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1
0,1.139079272,1,0.581156647,0.827659732,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0
0,1.197862133,0,0.250209126,0.682323885,0.820494033,0.915166676,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1
